gene_name,gene_id,identifier,protein,uniprot_id
Ccnb2-ps,-,Ccnb2-ps,TIA1,P52912
Gm17371,-,Gm17371,TIA1,P52912
Gm16091,-,Gm16091,TIA1,P52912
Gm17435,-,Gm17435,TIA1,P52912
A230103J11Rik,NONMMUG041125,NONMMUG041125,TIA1,P52912
Nlrc5,-,Nlrc5,TIA1,P52912
Gm16156,NONMMUG041473,NONMMUG041473,TIA1,P52912
1810019D21Rik,-,1810019D21Rik,TIA1,P52912
Gm17245,-,Gm17245,TIA1,P52912
Pdf,-,Pdf,TIA1,P52912
Gm17344,NONMMUG041573,NONMMUG041573,TIA1,P52912
Gm17642,-,Gm17642,TIA1,P52912
9430091E24Rik,NONMMUG041610,NONMMUG041610,TIA1,P52912
4933408N05Rik,NONMMUG041656,NONMMUG041656,TIA1,P52912
1110050K14Rik,-,1110050K14Rik,TIA1,P52912
BC048644,NONMMUG041813,NONMMUG041813,TIA1,P52912
1810008B01Rik,NONMMUG041908,NONMMUG041908,TIA1,P52912
Gm16163,NONMMUG041922,NONMMUG041922,TIA1,P52912
Gm16983,-,Gm16983,TIA1,P52912
Gm20416,NONMMUG042069,NONMMUG042069,TIA1,P52912
Gm16568,NONMMUG042164,NONMMUG042164,TIA1,P52912
Gm17523,-,Gm17523,TIA1,P52912
5730577I03Rik,-,5730577I03Rik,TIA1,P52912
1700084C06Rik,NONMMUG042236,NONMMUG042236,TIA1,P52912
Gm16754,-,Gm16754,TIA1,P52912
Gm16853,-,Gm16853,TIA1,P52912
Gm10701,NONMMUG042297,NONMMUG042297,TIA1,P52912
4930581F22Rik,NONMMUG042447,NONMMUG042447,TIA1,P52912
Gm16881,-,Gm16881,TIA1,P52912
D230004N17Rik,-,D230004N17Rik,TIA1,P52912
Gm3906,-,Gm3906,TIA1,P52912
Gm17397,-,Gm17397,TIA1,P52912
Gm10658,NONMMUG042892,NONMMUG042892,TIA1,P52912
2410133F24Rik,-,2410133F24Rik,TIA1,P52912
Gm17596,-,Gm17596,TIA1,P52912
Gm15507,-,Gm15507,TIA1,P52912
Gm7616,-,Gm7616,TIA1,P52912
Gm10653,-,Gm10653,TIA1,P52912
Oaz2,NONMMUG043118,NONMMUG043118,TIA1,P52912
Gm15563,NONMMUG043152,NONMMUG043152,TIA1,P52912
Gm16144,NONMMUG043223,NONMMUG043223,TIA1,P52912
BC065403,-,BC065403,TIA1,P52912
Gm8093,NONMMUG043421,NONMMUG043421,TIA1,P52912
Gm17477,NONMMUG043451,NONMMUG043451,TIA1,P52912
Snhg5,-,Snhg5,TIA1,P52912
9430037G07Rik,-,9430037G07Rik,TIA1,P52912
Gm17683,-,Gm17683,TIA1,P52912
9330159M07Rik,-,9330159M07Rik,TIA1,P52912
Gm17659,-,Gm17659,TIA1,P52912
Gm16126,NONMMUG043634,NONMMUG043634,TIA1,P52912
Gm16794,-,Gm16794,TIA1,P52912
Gm16185,NONMMUG043688,NONMMUG043688,TIA1,P52912
Gm9917,-,Gm9917,TIA1,P52912
Gm20529,NONMMUG043934,NONMMUG043934,TIA1,P52912
4930520O04Rik,NONMMUG044096,NONMMUG044096,TIA1,P52912
E530011L22Rik,-,E530011L22Rik,TIA1,P52912
A530083I20Rik,-,A530083I20Rik,TIA1,P52912
Gm17200,NONMMUG044327,NONMMUG044327,TIA1,P52912
Gm17021,NONMMUG044335,NONMMUG044335,TIA1,P52912
2010204K13Rik,NONMMUG044429,NONMMUG044429,TIA1,P52912
Gm14820,NONMMUG044458,NONMMUG044458,TIA1,P52912
2900002K06Rik,-,2900002K06Rik,TIA1,P52912
A230072C01Rik,-,A230072C01Rik,TIA1,P52912
9530027J09Rik,-,9530027J09Rik,TIA1,P52912
6720401G13Rik,-,6720401G13Rik,TIA1,P52912
4933407K13Rik,NONMMUG045195,NONMMUG045195,TIA1,P52912
Gm14764,NONMMUG045295,NONMMUG045295,TIA1,P52912
Gm14798,-,Gm14798,TIA1,P52912
Gm17630,-,Gm17630,TIA1,P52912
Tsix,NONMMUG045568,NONMMUG045568,TIA1,P52912
Xist,NONMMUG045569,NONMMUG045569,TIA1,P52912
Enox,-,Enox,TIA1,P52912
Ftx,NONMMUG045580,NONMMUG045580,TIA1,P52912
5530601H04Rik,NONMMUG045607,NONMMUG045607,TIA1,P52912
2810403D21Rik,NONMMUG045662,NONMMUG045662,TIA1,P52912
Wnk3-ps,-,Wnk3-ps,TIA1,P52912
2900056M20Rik,-,2900056M20Rik,TIA1,P52912
2210013O21Rik,NONMMUG046159,NONMMUG046159,TIA1,P52912
Gm15243,NONMMUG046240,NONMMUG046240,TIA1,P52912
Gm15261,-,Gm15261,TIA1,P52912
G530011O06Rik,NONMMUG046370,NONMMUG046370,TIA1,P52912
1700034P13Rik,-,1700034P13Rik,TTP,P22893
C130036L24Rik,NONMMUG001228,NONMMUG001228,TTP,P22893
D630008O14Rik,NONMMUG001500,NONMMUG001500,TTP,P22893
9330185C12Rik,-,9330185C12Rik,TTP,P22893
Gm17288,-,Gm17288,TTP,P22893
6030442K20Rik,-,6030442K20Rik,TTP,P22893
Gm16586,NONMMUG002557,NONMMUG002557,TTP,P22893
Gm16564,NONMMUG002568,NONMMUG002568,TTP,P22893
1600010F14Rik,-,1600010F14Rik,TTP,P22893
A330023F24Rik,-,A330023F24Rik,TTP,P22893
Gm20470,NONMMUG002971,NONMMUG002971,TTP,P22893
Gm16577,NONMMUG003038,NONMMUG003038,TTP,P22893
4930519F09Rik,-,4930519F09Rik,TTP,P22893
Gm16365,NONMMUG003412,NONMMUG003412,TTP,P22893
Gm15398,NONMMUG003978,NONMMUG003978,TTP,P22893
Gm12592,NONMMUG005099,NONMMUG005099,TTP,P22893
Gm11944,NONMMUG005100,NONMMUG005100,TTP,P22893
Tug1,NONMMUG005124,NONMMUG005124,TTP,P22893
Gm11973,NONMMUG005253,NONMMUG005253,TTP,P22893
Gm11974,-,Gm11974,TTP,P22893
9130230N09Rik,NONMMUG005509,NONMMUG005509,TTP,P22893
Gm16033,NONMMUG005910,NONMMUG005910,TTP,P22893
Gm16034,-,Gm16034,TTP,P22893
Gm16641,-,Gm16641,TTP,P22893
Gm17500,-,Gm17500,TTP,P22893
Gm12238,-,Gm12238,TTP,P22893
Gm16516,-,Gm16516,TTP,P22893
2410006H16Rik,NONMMUG006378,NONMMUG006378,TTP,P22893
Gm12289,NONMMUG006415,NONMMUG006415,TTP,P22893
1700016P03Rik,NONMMUG006735,NONMMUG006735,TTP,P22893
Gm11205,-,Gm11205,TTP,P22893
Gm16706,-,Gm16706,TTP,P22893
AI662270,NONMMUG007014,NONMMUG007014,TTP,P22893
A430104N18Rik,-,A430104N18Rik,TTP,P22893
Gm11508,NONMMUG007197,NONMMUG007197,TTP,P22893
2010015M23Rik,-,2010015M23Rik,TTP,P22893
Gm11527,NONMMUG007387,NONMMUG007387,TTP,P22893
4833417C18Rik,NONMMUG007388,NONMMUG007388,TTP,P22893
Gm11574,NONMMUG007458,NONMMUG007458,TTP,P22893
Gm11583,NONMMUG007460,NONMMUG007460,TTP,P22893
Gm12359,NONMMUG007538,NONMMUG007538,TTP,P22893
Gm11715,NONMMUG007873,NONMMUG007873,TTP,P22893
2810008D09Rik,NONMMUG008177,NONMMUG008177,TTP,P22893
4732487G21Rik,-,4732487G21Rik,TTP,P22893
Gm16596,-,Gm16596,TTP,P22893
4930470G03Rik,NONMMUG010414,NONMMUG010414,TTP,P22893
Gm11280,NONMMUG010427,NONMMUG010427,TTP,P22893
Gm11292,NONMMUG010434,NONMMUG010434,TTP,P22893
4930586N03Rik,NONMMUG010475,NONMMUG010475,TTP,P22893
Gm11335,NONMMUG010482,NONMMUG010482,TTP,P22893
Gm17419,-,Gm17419,TTP,P22893
Gm11375,-,Gm11375,TTP,P22893
Gm17282,-,Gm17282,TTP,P22893
A830082K12Rik,NONMMUG011468,NONMMUG011468,TTP,P22893
Gm3848,NONMMUG012207,NONMMUG012207,TTP,P22893
6230400D17Rik,-,6230400D17Rik,TTP,P22893
Gm17173,NONMMUG012772,NONMMUG012772,TTP,P22893
Gm16682,-,Gm16682,TTP,P22893
Ppp1r3e,-,Ppp1r3e,TTP,P22893
Gm16973,-,Gm16973,TTP,P22893
NONMMUG013725,NONMMUG013725,NONMMUG013725,TTP,P22893
Mir17hg,NONMMUG013779,NONMMUG013779,TTP,P22893
Gm16847,-,Gm16847,TTP,P22893
4930594M22Rik,NONMMUG013901,NONMMUG013901,TTP,P22893
Gm15938,NONMMUG013958,NONMMUG013958,TTP,P22893
Gm17035,NONMMUG014706,NONMMUG014706,TTP,P22893
1810021B22Rik,NONMMUG015203,NONMMUG015203,TTP,P22893
2610020C07Rik,-,2610020C07Rik,TTP,P22893
Gm15738,NONMMUG015815,NONMMUG015815,TTP,P22893
B630019A10Rik,NONMMUG016074,NONMMUG016074,TTP,P22893
Gm15658,-,Gm15658,TTP,P22893
4932412D23Rik,NONMMUG016527,NONMMUG016527,TTP,P22893
Gm15638,NONMMUG016620,NONMMUG016620,TTP,P22893
4930404I05Rik,NONMMUG017132,NONMMUG017132,TTP,P22893
Gm15964,NONMMUG017155,NONMMUG017155,TTP,P22893
Gm16309,-,Gm16309,TTP,P22893
Gm16957,-,Gm16957,TTP,P22893
Snhg9,NONMMUT028675,NONMMUT028675,TTP,P22893
Gm16278,NONMMUG017792,NONMMUG017792,TTP,P22893
1110038B12Rik,NONMMUG018153,NONMMUG018153,TTP,P22893
Gm17414,-,Gm17414,TTP,P22893
Gm6225,-,Gm6225,TTP,P22893
Gm17417,-,Gm17417,TTP,P22893
2410004N09Rik,NONMMUG019605,NONMMUG019605,TTP,P22893
Snhg4,-,Snhg4,TTP,P22893
Gm14965,NONMMUG020713,NONMMUG020713,TTP,P22893
Snhg1,-,Snhg1,TTP,P22893
Gm10143,NONMMUG020802,NONMMUG020802,TTP,P22893
Bbip1,-,Bbip1,TTP,P22893
Gm16934,-,Gm16934,TTP,P22893
Gm13256,NONMMUG021944,NONMMUG021944,TTP,P22893
A230005M16Rik,NONMMUG022316,NONMMUG022316,TTP,P22893
Snhg7,-,Snhg7,TTP,P22893
Gm13625,-,Gm13625,TTP,P22893
Gm13938,NONMMUG023513,NONMMUG023513,TTP,P22893
Pax6os1,-,Pax6os1,TTP,P22893
5430417L22Rik,-,5430417L22Rik,TTP,P22893
Gm17675,-,Gm17675,TTP,P22893
AV039307,NONMMUG024382,NONMMUG024382,TTP,P22893
Gm14027,NONMMUG024611,NONMMUG024611,TTP,P22893
9430008C03Rik,NONMMUG025318,NONMMUG025318,TTP,P22893
Gm16093,NONMMUG026141,NONMMUG026141,TTP,P22893
Gm16722,-,Gm16722,TTP,P22893
Gm12531,NONMMUG026405,NONMMUG026405,TTP,P22893
Gm17548,-,Gm17548,TTP,P22893
1700113A16Rik,-,1700113A16Rik,TTP,P22893
Gm15265,-,Gm15265,TTP,P22893
Gm12474,NONMMUG027410,NONMMUG027410,TTP,P22893
A130049A11Rik,-,A130049A11Rik,TTP,P22893
Gm11802,NONMMUG028432,NONMMUG028432,TTP,P22893
1700120G11Rik,NONMMUG028567,NONMMUG028567,TTP,P22893
Gm11932,-,Gm11932,TTP,P22893
C630028M04Rik,NONMMUG029241,NONMMUG029241,TTP,P22893
Gm11751,NONMMUG029534,NONMMUG029534,TTP,P22893
E130102H24Rik,NONMMUG029983,NONMMUG029983,TTP,P22893
Gm12802,NONMMUG030111,NONMMUG030111,TTP,P22893
Gm12905,NONMMUG030555,NONMMUG030555,TTP,P22893
Gm12992,NONMMUG030841,NONMMUG030841,TTP,P22893
Snhg3,-,Snhg3,TTP,P22893
Gm17300,NONMMUG030868,NONMMUG030868,TTP,P22893
E130218I03Rik,NONMMUG030953,NONMMUG030953,TTP,P22893
1700121F15Rik,-,1700121F15Rik,TTP,P22893
Smim1,NONMMUG031526,NONMMUG031526,TTP,P22893
Gm16023,NONMMUG031589,NONMMUG031589,TTP,P22893
Gm13648,NONMMUG031630,NONMMUG031630,TTP,P22893
Abhd1,NONMMUG032094,NONMMUG032094,TTP,P22893
Gm20465,NONMMUG032165,NONMMUG032165,TTP,P22893
Gm15865,-,Gm15865,TTP,P22893
1700094C10Rik,-,1700094C10Rik,TTP,P22893
2700023E23Rik,-,2700023E23Rik,TTP,P22893
2310040G07Rik,NONMMUG032824,NONMMUG032824,TTP,P22893
5430416N02Rik,-,5430416N02Rik,TTP,P22893
D930016D06Rik,-,D930016D06Rik,TTP,P22893
Gm15787,NONMMUG033341,NONMMUG033341,TTP,P22893
Gm15788,NONMMUG033346,NONMMUG033346,TTP,P22893
Gm15559,NONMMUG033366,NONMMUG033366,TTP,P22893
Gm17122,NONMMUG033450,NONMMUG033450,TTP,P22893
Gm13826,-,Gm13826,TTP,P22893
A930024E05Rik,NONMMUG033743,NONMMUG033743,TTP,P22893
Gm15708,NONMMUG034274,NONMMUG034274,TTP,P22893
Gm17429,-,Gm17429,TTP,P22893
Gm13856,NONMMUG034953,NONMMUG034953,TTP,P22893
A430010J10Rik,-,A430010J10Rik,TTP,P22893
Lsm3,NONMMUG036008,NONMMUG036008,TTP,P22893
Gt(ROSA)26Sor,NONMMUG036279,NONMMUG036279,TTP,P22893
2310001H17Rik,-,2310001H17Rik,TTP,P22893
Klra23,-,Klra23,TTP,P22893
Gm7457,NONMMUG036895,NONMMUG036895,TTP,P22893
Gm15687,-,Gm15687,TTP,P22893
Gm12758,NONMMUG037717,NONMMUG037717,TTP,P22893
Gm16929,-,Gm16929,TTP,P22893
Vmn2r-ps54,NONMMUG037855,NONMMUG037855,TTP,P22893
Gm17504,-,Gm17504,TTP,P22893
Fam169b,NONMMUG038292,NONMMUG038292,TTP,P22893
Gm16158,NONMMUG038294,NONMMUG038294,TTP,P22893
2900076A07Rik,-,2900076A07Rik,TTP,P22893
4933406I18Rik,NONMMUG039105,NONMMUG039105,TTP,P22893
Gm15500,-,Gm15500,TTP,P22893
Gm10574,-,Gm10574,TTP,P22893
Gm16933,NONMMUG040119,NONMMUG040119,TTP,P22893
Spcs3,-,Spcs3,TTP,P22893
4933431K23Rik,NONMMUG040983,NONMMUG040983,TTP,P22893
Pdf,-,Pdf,TTP,P22893
Gm16754,-,Gm16754,TTP,P22893
Gm16853,-,Gm16853,TTP,P22893
Gm16961,-,Gm16961,TTP,P22893
BC065403,-,BC065403,TTP,P22893
C920006O11Rik,-,C920006O11Rik,TTP,P22893
Gm8093,NONMMUG043421,NONMMUG043421,TTP,P22893
Gm17477,NONMMUG043451,NONMMUG043451,TTP,P22893
Snhg5,-,Snhg5,TTP,P22893
Gm9917,-,Gm9917,TTP,P22893
Gm20529,NONMMUG043934,NONMMUG043934,TTP,P22893
Gm9888,-,Gm9888,TTP,P22893
Kis2,NONMMUG044903,NONMMUG044903,TTP,P22893
Gm17630,-,Gm17630,TTP,P22893
Gm14818,NONMMUG045410,NONMMUG045410,TTP,P22893
Enox,-,Enox,TTP,P22893
Ftx,NONMMUG045580,NONMMUG045580,TTP,P22893
2210013O21Rik,NONMMUG046159,NONMMUG046159,TTP,P22893
Gm15239,NONMMUG046343,NONMMUG046343,TTP,P22893
Gm17306,-,Gm17306,TTP,P22893
Ascl4,-,Ascl4,TTP,P22893
Gm15344,NONMMUG004305,NONMMUG004305,TTP,P22893
Gm12167,NONMMUG005915,NONMMUG005915,TTP,P22893
Gm11655,NONMMUG007920,NONMMUG007920,TTP,P22893
2610035D17Rik,NONMMUG008008,NONMMUG008008,TTP,P22893
Gm5432,-,Gm5432,TTP,P22893
4930558J22Rik,NONMMUG010492,NONMMUG010492,TTP,P22893
Gm16984,NONMMUG010674,NONMMUG010674,TTP,P22893
Gm16907,-,Gm16907,TTP,P22893
Gm17447,-,Gm17447,TTP,P22893
Gm15629,-,Gm15629,TTP,P22893
B930095G15Rik,NONMMUG013864,NONMMUG013864,TTP,P22893
Rpl39-ps,NONMMUG015559,NONMMUG015559,TTP,P22893
Gm15648,NONMMUG015908,NONMMUG015908,TTP,P22893
Gm15976,NONMMUG017170,NONMMUG017170,TTP,P22893
D630044L22Rik,-,D630044L22Rik,TTP,P22893
5830428H23Rik,NONMMUG021777,NONMMUG021777,TTP,P22893
Gm13185,NONMMUG021810,NONMMUG021810,TTP,P22893
Gm10804,NONMMUG023866,NONMMUG023866,TTP,P22893
Gm14010,-,Gm14010,TTP,P22893
AU019990,NONMMUG024770,NONMMUG024770,TTP,P22893
Gm17559,-,Gm17559,TTP,P22893
Gm15472,NONMMUG027502,NONMMUG027502,TTP,P22893
Gm12744,NONMMUG030091,NONMMUG030091,TTP,P22893
Gm12940,NONMMUG030662,NONMMUG030662,TTP,P22893
Gm16008,NONMMUG031628,NONMMUG031628,TTP,P22893
Gm13824,-,Gm13824,TTP,P22893
Gm17034,NONMMUG035753,NONMMUG035753,TTP,P22893
2310010J17Rik,-,2310010J17Rik,TTP,P22893
Gm15347,NONMMUG039903,NONMMUG039903,TTP,P22893
4930581F22Rik,NONMMUG042447,NONMMUG042447,TTP,P22893
Gm15891,NONMMUG043694,NONMMUG043694,TTP,P22893
Gm10489,-,Gm10489,TTP,P22893
Gm5124,-,Gm5124,TTP,P22893
Gm17637,-,Gm17637,TTP,P22893
Gm15246,NONMMUG046363,NONMMUG046363,TTP,P22893
Gm1992,NONMMUG000008,NONMMUG000008,SFPQ,Q8VIJ6
Gm16899,-,Gm16899,SFPQ,Q8VIJ6
1700034P13Rik,-,1700034P13Rik,SFPQ,Q8VIJ6
Gm16070,NONMMUG000186,NONMMUG000186,SFPQ,Q8VIJ6
Gm15825,NONMMUG000191,NONMMUG000191,SFPQ,Q8VIJ6
Gm16705,-,Gm16705,SFPQ,Q8VIJ6
Gm16750,-,Gm16750,SFPQ,Q8VIJ6
D430040D24Rik,NONMMUG000398,NONMMUG000398,SFPQ,Q8VIJ6
4930439A04Rik,NONMMUG000417,NONMMUG000417,SFPQ,Q8VIJ6
Gm15832,NONMMUG000471,NONMMUG000471,SFPQ,Q8VIJ6
D930019O06Rik,-,D930019O06Rik,SFPQ,Q8VIJ6
9130024F11Rik,NONMMUG000668,NONMMUG000668,SFPQ,Q8VIJ6
Gm15834,NONMMUG000698,NONMMUG000698,SFPQ,Q8VIJ6
4930448K12Rik,-,4930448K12Rik,SFPQ,Q8VIJ6
Gm11602,-,Gm11602,SFPQ,Q8VIJ6
Gm17427,-,Gm17427,SFPQ,Q8VIJ6
Gm13748,NONMMUG000852,NONMMUG000852,SFPQ,Q8VIJ6
2810408I11Rik,NONMMUG000865,NONMMUG000865,SFPQ,Q8VIJ6
Gm10558,NONMMUG000884,NONMMUG000884,SFPQ,Q8VIJ6
D230017M19Rik,-,D230017M19Rik,SFPQ,Q8VIJ6
Gm16582,NONMMUG001043,NONMMUG001043,SFPQ,Q8VIJ6
Gm15178,NONMMUG001062,NONMMUG001062,SFPQ,Q8VIJ6
A530040E14Rik,NONMMUG001184,NONMMUG001184,SFPQ,Q8VIJ6
Gm16025,-,Gm16025,SFPQ,Q8VIJ6
Gm16094,-,Gm16094,SFPQ,Q8VIJ6
Gm10552,-,Gm10552,SFPQ,Q8VIJ6
C130036L24Rik,NONMMUG001228,NONMMUG001228,SFPQ,Q8VIJ6
Gm20528,NONMMUG001288,NONMMUG001288,SFPQ,Q8VIJ6
Gm17560,-,Gm17560,SFPQ,Q8VIJ6
Gm17090,NONMMUG001354,NONMMUG001354,SFPQ,Q8VIJ6
Gm17418,-,Gm17418,SFPQ,Q8VIJ6
B230216N24Rik,NONMMUG001449,NONMMUG001449,SFPQ,Q8VIJ6
D630008O14Rik,NONMMUG001500,NONMMUG001500,SFPQ,Q8VIJ6
Gm16083,NONMMUG001711,NONMMUG001711,SFPQ,Q8VIJ6
6030442K20Rik,-,6030442K20Rik,SFPQ,Q8VIJ6
Gm16606,-,Gm16606,SFPQ,Q8VIJ6
Gm15850,NONMMUG001865,NONMMUG001865,SFPQ,Q8VIJ6
Gm17543,-,Gm17543,SFPQ,Q8VIJ6
4930596I21Rik,-,4930596I21Rik,SFPQ,Q8VIJ6
Gm9530,-,Gm9530,SFPQ,Q8VIJ6
Gm5532,-,Gm5532,SFPQ,Q8VIJ6
Gas5,NONMMUG002215,NONMMUG002215,SFPQ,Q8VIJ6
4930469G21Rik,-,4930469G21Rik,SFPQ,Q8VIJ6
Dnm3os,-,Dnm3os,SFPQ,Q8VIJ6
Gm17444,-,Gm17444,SFPQ,Q8VIJ6
Gm15853,-,Gm15853,SFPQ,Q8VIJ6
Gm16701,-,Gm16701,SFPQ,Q8VIJ6
Gm9929,NONMMUG002409,NONMMUG002409,SFPQ,Q8VIJ6
Gm15423,NONMMUG002528,NONMMUG002528,SFPQ,Q8VIJ6
B230369F24Rik,-,B230369F24Rik,SFPQ,Q8VIJ6
Gm16586,NONMMUG002557,NONMMUG002557,SFPQ,Q8VIJ6
Gm17275,-,Gm17275,SFPQ,Q8VIJ6
D730003I15Rik,NONMMUG002816,NONMMUG002816,SFPQ,Q8VIJ6
Gm10516,-,Gm10516,SFPQ,Q8VIJ6
A330023F24Rik,-,A330023F24Rik,SFPQ,Q8VIJ6
Gm16897,-,Gm16897,SFPQ,Q8VIJ6
Gm16153,NONMMUG002938,NONMMUG002938,SFPQ,Q8VIJ6
Gm16760,-,Gm16760,SFPQ,Q8VIJ6
Gm16255,-,Gm16255,SFPQ,Q8VIJ6
Gm20470,NONMMUG002971,NONMMUG002971,SFPQ,Q8VIJ6
Gm16577,NONMMUG003038,NONMMUG003038,SFPQ,Q8VIJ6
4930432B10Rik,-,4930432B10Rik,SFPQ,Q8VIJ6
Gm8330,-,Gm8330,SFPQ,Q8VIJ6
Gm10827,-,Gm10827,SFPQ,Q8VIJ6
Gm15588,-,Gm15588,SFPQ,Q8VIJ6
Gm15939,NONMMUG003357,NONMMUG003357,SFPQ,Q8VIJ6
Gm17321,-,Gm17321,SFPQ,Q8VIJ6
Gm16365,NONMMUG003412,NONMMUG003412,SFPQ,Q8VIJ6
E130307A14Rik,NONMMUG003416,NONMMUG003416,SFPQ,Q8VIJ6
4930520K10Rik,-,4930520K10Rik,SFPQ,Q8VIJ6
Gm17442,-,Gm17442,SFPQ,Q8VIJ6
Gm17059,-,Gm17059,SFPQ,Q8VIJ6
2210417K05Rik,-,2210417K05Rik,SFPQ,Q8VIJ6
Gm17291,-,Gm17291,SFPQ,Q8VIJ6
Gm15398,NONMMUG003978,NONMMUG003978,SFPQ,Q8VIJ6
Gm15397,NONMMUG003980,NONMMUG003980,SFPQ,Q8VIJ6
Gm16240,NONMMUG004016,NONMMUG004016,SFPQ,Q8VIJ6
4930483K19Rik,NONMMUG004022,NONMMUG004022,SFPQ,Q8VIJ6
2810425M01Rik,-,2810425M01Rik,SFPQ,Q8VIJ6
Gm17134,NONMMUG004099,NONMMUG004099,SFPQ,Q8VIJ6
Gm17682,-,Gm17682,SFPQ,Q8VIJ6
2310050B05Rik,-,2310050B05Rik,SFPQ,Q8VIJ6
Gm16315,NONMMUG004167,NONMMUG004167,SFPQ,Q8VIJ6
Gm16104,NONMMUG004180,NONMMUG004180,SFPQ,Q8VIJ6
Gm16105,NONMMUG004182,NONMMUG004182,SFPQ,Q8VIJ6
Gm15608,NONMMUG004208,NONMMUG004208,SFPQ,Q8VIJ6
1700025N21Rik,NONMMUG004236,NONMMUG004236,SFPQ,Q8VIJ6
Ascl4,-,Ascl4,SFPQ,Q8VIJ6
4930486F22Rik,NONMMUG004295,NONMMUG004295,SFPQ,Q8VIJ6
1810014B01Rik,-,1810014B01Rik,SFPQ,Q8VIJ6
Gm15344,NONMMUG004305,NONMMUG004305,SFPQ,Q8VIJ6
Gm16268,NONMMUG004307,NONMMUG004307,SFPQ,Q8VIJ6
Gm17338,-,Gm17338,SFPQ,Q8VIJ6
Gm16235,NONMMUG004338,NONMMUG004338,SFPQ,Q8VIJ6
Gm17499,-,Gm17499,SFPQ,Q8VIJ6
4933408J17Rik,-,4933408J17Rik,SFPQ,Q8VIJ6
Gm16155,NONMMUG004449,NONMMUG004449,SFPQ,Q8VIJ6
Gm16154,-,Gm16154,SFPQ,Q8VIJ6
4932415G12Rik,-,4932415G12Rik,SFPQ,Q8VIJ6
Gm16239,NONMMUG004534,NONMMUG004534,SFPQ,Q8VIJ6
Gm15663,NONMMUG004599,NONMMUG004599,SFPQ,Q8VIJ6
Gm16320,-,Gm16320,SFPQ,Q8VIJ6
4930564G21Rik,-,4930564G21Rik,SFPQ,Q8VIJ6
4930483C13Rik,-,4930483C13Rik,SFPQ,Q8VIJ6
Gm15961,NONMMUG004878,NONMMUG004878,SFPQ,Q8VIJ6
Gm15910,NONMMUG004880,NONMMUG004880,SFPQ,Q8VIJ6
F420014N23Rik,-,F420014N23Rik,SFPQ,Q8VIJ6
Gm4189,NONMMUG004994,NONMMUG004994,SFPQ,Q8VIJ6
Gm16229,NONMMUG005009,NONMMUG005009,SFPQ,Q8VIJ6
Gm17292,-,Gm17292,SFPQ,Q8VIJ6
Gm17201,NONMMUG005041,NONMMUG005041,SFPQ,Q8VIJ6
A430046D13Rik,-,A430046D13Rik,SFPQ,Q8VIJ6
Pisd-ps1,NONMMUG005081,NONMMUG005081,SFPQ,Q8VIJ6
Gm11399,-,Gm11399,SFPQ,Q8VIJ6
Gm12592,NONMMUG005099,NONMMUG005099,SFPQ,Q8VIJ6
Gm11944,NONMMUG005100,NONMMUG005100,SFPQ,Q8VIJ6
8430429K09Rik,NONMMUG005112,NONMMUG005112,SFPQ,Q8VIJ6
Tug1,NONMMUG005124,NONMMUG005124,SFPQ,Q8VIJ6
NONMMUG004254,NONMMUG004254,NONMMUG004254,SFPQ,Q8VIJ6
Gm11974,-,Gm11974,SFPQ,Q8VIJ6
1700046C09Rik,-,1700046C09Rik,SFPQ,Q8VIJ6
2810442I21Rik,-,2810442I21Rik,SFPQ,Q8VIJ6
Gm12023,NONMMUG005378,NONMMUG005378,SFPQ,Q8VIJ6
8430419K02Rik,NONMMUG005383,NONMMUG005383,SFPQ,Q8VIJ6
Gm12043,NONMMUG005467,NONMMUG005467,SFPQ,Q8VIJ6
Gm20456,NONMMUG005507,NONMMUG005507,SFPQ,Q8VIJ6
Gm12059,-,Gm12059,SFPQ,Q8VIJ6
Gm12061,NONMMUG005545,NONMMUG005545,SFPQ,Q8VIJ6
A630052C17Rik,NONMMUG005600,NONMMUG005600,SFPQ,Q8VIJ6
Gm8098,NONMMUG005644,NONMMUG005644,SFPQ,Q8VIJ6
Gm12116,NONMMUG005725,NONMMUG005725,SFPQ,Q8VIJ6
Gm12126,NONMMUG005775,NONMMUG005775,SFPQ,Q8VIJ6
Gm16033,NONMMUG005910,NONMMUG005910,SFPQ,Q8VIJ6
Gm16034,-,Gm16034,SFPQ,Q8VIJ6
Gm12195,NONMMUG005995,NONMMUG005995,SFPQ,Q8VIJ6
Gm16641,-,Gm16641,SFPQ,Q8VIJ6
5133400J02Rik,NONMMUG006037,NONMMUG006037,SFPQ,Q8VIJ6
Gm16953,-,Gm16953,SFPQ,Q8VIJ6
Gm17500,-,Gm17500,SFPQ,Q8VIJ6
Gm12207,NONMMUG006076,NONMMUG006076,SFPQ,Q8VIJ6
A630014C17Rik,NONMMUG006078,NONMMUG006078,SFPQ,Q8VIJ6
Gm11186,-,Gm11186,SFPQ,Q8VIJ6
Gm12227,NONMMUG006144,NONMMUG006144,SFPQ,Q8VIJ6
Gm12238,-,Gm12238,SFPQ,Q8VIJ6
2010001A14Rik,NONMMUG006205,NONMMUG006205,SFPQ,Q8VIJ6
Gm12246,NONMMUG006221,NONMMUG006221,SFPQ,Q8VIJ6
1700047K16Rik,NONMMUG006227,NONMMUG006227,SFPQ,Q8VIJ6
2310058D17Rik,NONMMUG006241,NONMMUG006241,SFPQ,Q8VIJ6
