identifier,gene_id,symbol
NONMMUG036805,NONMMUG036805,NONMMUG036805
NONMMUG042280,NONMMUG042280,NONMMUG042280
NONMMUG019488,NONMMUG019488,NONMMUG019488
NONMMUG027281,NONMMUG027281,NONMMUG027281
NONMMUG027280,NONMMUG027280,NONMMUG027280
NONMMUG041381,NONMMUG041381,NONMMUG041381
NONMMUG014783,NONMMUG014783,NONMMUG014783
NONMMUG005061,NONMMUG005061,NONMMUG005061
NONMMUG005060,NONMMUG005060,NONMMUG005060
NONMMUG004674,NONMMUG004674,NONMMUG004674
NONMMUG038585,NONMMUG038585,NONMMUG038585
NONMMUG035334,NONMMUG035334,NONMMUG035334
NONMMUG038775,NONMMUG038775,NONMMUG038775
NONMMUG036864,NONMMUG036864,NONMMUG036864
NONMMUG043779,NONMMUG043779,NONMMUG043779
NONMMUG040151,NONMMUG040151,NONMMUG040151
NONMMUG020641,NONMMUG020641,NONMMUG020641
NONMMUG031094,NONMMUG031094,NONMMUG031094
NONMMUG039364,NONMMUG039364,NONMMUG039364
NONMMUG005898,NONMMUG005898,NONMMUG005898
NONMMUG042698,NONMMUG042698,NONMMUG042698
NONMMUG033798,NONMMUG033798,NONMMUG033798
NONMMUG019060,NONMMUG019060,NONMMUG019060
NONMMUG039009,NONMMUG039009,NONMMUG039009
NONMMUG025530,NONMMUG025530,RPI002_008558
NONMMUG035643,NONMMUG035643,NONMMUG035643
NONMMUG032302,NONMMUG032302,NONMMUG032302
NONMMUG020324,NONMMUG020324,NONMMUG020324
NONMMUG027054,NONMMUG027054,NONMMUG027054
NONMMUG039150,NONMMUG039150,NONMMUG039150
NONMMUG036191,NONMMUG036191,NONMMUG036191
NONMMUG000826,NONMMUG000826,NONMMUG000826
NONMMUG041447,NONMMUG041447,NONMMUG041447
NONMMUG001175,NONMMUG001175,NONMMUG001175
NONMMUG008792,NONMMUG008792,NONMMUG008792
NONMMUG043114,NONMMUG043114,NONMMUG043114
NONMMUG001956,NONMMUG001956,NONMMUG001956
NONMMUG035079,NONMMUG035079,NONMMUG035079
NONMMUG034016,NONMMUG034016,NONMMUG034016
NONMMUG026681,NONMMUG026681,NONMMUG026681
NONMMUG009304,NONMMUG009304,NONMMUG009304
NONMMUG000785,NONMMUG000785,NONMMUG000785
