dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000023247,Guca2a,NE,,"{""mgi_marker"":""MGI:102738"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102738""}"
115,10090,ENSMUSG00000000275,Trim25,NE,,"{""mgi_marker"":""MGI:102749"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102749""}"
115,10090,ENSMUSG00000028042,Zbtb7b,NE,,"{""mgi_marker"":""MGI:102755"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102755""}"
115,10090,ENSMUSG00000054106,Try4,NE,,"{""mgi_marker"":""MGI:102757"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102757""}"
115,10090,ENSMUSG00000031574,Star,NE,,"{""mgi_marker"":""MGI:102760"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102760""}"
115,10090,ENSMUSG00000038805,Six3,C,,"{""mgi_marker"":""MGI:102764"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102764""}"
115,10090,ENSMUSG00000026204,Ptprn,NE,,"{""mgi_marker"":""MGI:102765"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102765""}"
115,10090,ENSMUSG00000030605,Mfge8,NE,,"{""mgi_marker"":""MGI:102768"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102768""}"
115,10090,ENSMUSG00000023982,Guca1a,NE,,"{""mgi_marker"":""MGI:102770"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102770""}"
115,10090,ENSMUSG00000028270,Gbp2,NE,,"{""mgi_marker"":""MGI:102772"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102772""}"
115,10090,ENSMUSG00000028029,Aimp1,NE,,"{""mgi_marker"":""MGI:102774"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102774""}"
115,10090,ENSMUSG00000003033,Ap1m1,C,,"{""mgi_marker"":""MGI:102776"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102776""}"
115,10090,ENSMUSG00000024134,Six2,C,,"{""mgi_marker"":""MGI:102778"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102778""}"
